city,hotel_name,hotel_url,latitude,longitude,rating,description,price
Mont Saint Michel,Gites Bellevue,https://www.booking.com/hotel/fr/gites-bellevue.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoFYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCo5u7vgbAAgHSAiQ3NjBiNTlkOS1kNGRiLTQzNjAtYjE0Ni0wN2IwYTY5NWUwNzfYAgXgAgE&ucfs=1&arphpl=1&checkin=2025-03-05&checkout=2025-03-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=b705511110e30002&srepoch=1741606309&from=searchresults,48.60788007,N/A,9.3,"Located just 2 km from the famous Mont Saint-Michel, Gites Bellevue offers self-catering cottages with a terrace, garden and BBQ facilities. The sea is only a 10-minute drive away.

The cottages feature views of the Mont Saint-Michel, a living area with a TV and a washing machine. The kitchen includes an oven, stove and microwave.

Grocery shops and restaurants can be found 7 km away in the centre of Pontorson and both free Wi-Fi access and free private parking are available. Saint-Malo is a 45-minute drive away and Avranches is 25 km from the property.",N/A
St Malo,Le Pilo,https://www.booking.com/hotel/fr/le-pilori.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGgViAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKom7u-BsACAdICJGM2ZjkzOWZlLTE2MjMtNDQ3Yy1iMTQxLWRjYmExYTA1YzZiMtgCBeACAQ&ucfs=1&arphpl=1&checkin=2025-03-05&checkout=2025-03-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=f8b05114ccfc01f0&srepoch=1741606313&from=searchresults,48.64899200,N/A,9.7,"Set in Saint Malo, just 400 metres from Mole Beach, Le Pilo offers beachfront accommodation with free WiFi. The property features city views and is 500 metres from Eventail Beach and 400 metres from Grand Bé. The property is 300 metres from Bon Secours Beach, and within 400 metres of the city centre.

The 2-bedroom apartment is fitted with a living room with a flat-screen TV, a fully equipped kitchen with a dishwasher and an oven, and 1 bathroom with a hair dryer. Towels and bed linen are featured in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Palais du Grand Large, Casino Barrière Saint-Malo and National Fort.",N/A
Bayeux,Hotel Le Lion D'Or et Restaurant La Table Du Lion,https://www.booking.com/hotel/fr/le-lion-d-or-bayeux.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iYXlldXhIM1gEaBWIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqubu74GwAIB0gIkM2Q2YTlhNDUtMTc5NS00YjhmLWE0MzEtZGI3M2FhNzZlMmJh2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-03-05&checkout=2025-03-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=4bad5115dd990528&srepoch=1741606316&from=searchresults,49.27627832,N/A,8.6,"This former 18th-century post office is now a charming hotel located in one of Bayeux’s oldest quarters. It offers 24-hour reception and is just 400 metres from the Bayeux Tapestry Museum.

Free Wi-Fi access is provided in each soundproofed room. All rooms are light and spacious and have their own bathroom with a hairdryer.

A buffet breakfast is available every morning. The hotel’s restaurant serves creative French cuisine. After dinner, guests can relax with a drink of Calvados and listen to some music by the fireplace in the lounge bar.

The staff at Le Lion D’or can help arrange local excursions through their concierge service. Massage treatments can be arranged near the property upon request.",N/A
Le Havre,JOST Hostel Le Havre Centre Gare,https://www.booking.com/hotel/fr/melt-auberge-de-jeunesse-le-havre-centre-gare.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9sZSBoYXZyZUgzWARoFYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCr5u7vgbAAgHSAiQyYmY5Y2U3MS03YjBmLTRmZDEtOTU2ZS1jODYyNzg0ODMwMzLYAgXgAgE&ucfs=1&arphpl=1&checkin=2025-03-05&checkout=2025-03-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=b4255117dfba04b9&srepoch=1741606321&from=searchresults,49.49398800,0.12273260,8.7,"JOST Hostel Le Havre Centre Gare features a shared lounge, terrace, a restaurant and bar in Le Havre. Among the facilities at this property are a shared kitchen and a 24-hour front desk, along with free WiFi throughout the property. The property is non-smoking and is located 2.3 km from Le Havre Beach.

All units in the hostel are equipped with a coffee machine. All guest rooms will provide guests with a fridge.

Breakfast is available, and includes buffet, continental and vegetarian options.

You can play darts at JOST Hostel Le Havre Centre Gare.

Popular points of interest near the accommodation include Saint-Michel's Church, Le Volcan and Perret Model Appartment.",N/A
Rouen,Appart Rouen Centre,https://www.booking.com/hotel/fr/appart-rouen-centre.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9yb3VlbkgzWARoFYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCtJu7vgbAAgHSAiQ2M2RhN2E1OC00OTA2LTRhN2YtOGI5ZS1iYzI5NDdmZTkyZWbYAgXgAgE&ucfs=1&arphpl=1&checkin=2025-03-05&checkout=2025-03-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=229b511a87d20272&srepoch=1741606325&from=searchresults,49.44466800,1.08891700,8.1,"Appart Rouen Centre offers accommodation within 800 metres of the centre of Rouen, with free WiFi, and a kitchen with a microwave, a toaster and a fridge. It is set less than 1 km from Notre-Dame Cathedral of Rouen and provides luggage storage space. Gare de Rouen Rive Droite is less than 1 km away and Rouen Kindarena Sports Hall is 2.8 km from the apartment.

At the apartment complex, each unit comes with a desk, a flat-screen TV, a private bathroom, bed linen and towels. Kitchenware is also featured, as well as a coffee machine and a kettle. The units are equipped with heating facilities.

There is a coffee shop on-site.

Voltaire Station, Rouen is 3.4 km from the apartment, while Hotel de ville de Soteville Station, Rouen is 4.5 km away. Deauville - Normandie Airport is 85 km from the property.",N/A
Paris,Spacieux appartement à 50m du Sacre Coeur - Magnifique Vue,https://www.booking.com/hotel/fr/cozy-appartement-with-a-view-90m-from-sacre-coeur.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gzWARoFYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCuJu7vgbAAgHSAiQwNTA2YjZmYy1kODAwLTQ0ZDMtYjhkOC05ODEwYjRhN2ZjMjfYAgXgAgE&ucfs=1&arphpl=1&checkin=2025-03-05&checkout=2025-03-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=b425511cff50002c&srepoch=1741606329&from=searchresults,48.88681730,2.34449580,8.4,"In the 18th arr. District of Paris, close to Sacré-Coeur, Spacieux appartement à 50m du Sacre Coeur - Magnifique Vue features free WiFi and a washing machine. The property is around 3.5 km from Gare Saint-Lazare, 2 km from Gare de l'Est and 4.1 km from Opéra Garnier. Musée de l'Orangerie is 4.6 km from the apartment and Louvre Museum is 5.3 km away.

The apartment is composed of 1 bedroom, a fully equipped kitchen, and 1 bathroom. Towels and bed linen are provided in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include La Cigale Concert Hall, Pigalle Metro Station and Gare du Nord. Paris - Charles de Gaulle Airport is 21 km away.",N/A
Amiens,LA BERGE,https://www.booking.com/hotel/fr/la-berge.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hbWllbnNIM1gEaBWIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Arybu74GwAIB0gIkMjQ0YjYzNzQtODlhMS00MDk0LWIxNzktMDNhMGYwNzkxNTcy2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-03-05&checkout=2025-03-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=50ed511e748907e9&srepoch=1741606333&from=searchresults,49.89610250,2.31078990,9.2,"Set in Amiens in the Picardy region, with Amiens Train Station and The Floating gardens Park nearby, LA BERGE offers accommodation with free WiFi and free private parking. The property is around less than 1 km from Berny's Museum, a 12-minute walk from Tribunal de Grande Instance of Amiens and 5.2 km from University of Picardie Jules Verne. The property is non-smoking and is located 4.5 km from Zénith d'Amiens.

The 1-bedroom apartment comes with a living room with a flat-screen TV with satellite channels, a fully equipped kitchen with a microwave and toaster, and 1 bathroom with walk-in shower. Towels and bed linen are featured in the apartment. For added privacy, the accommodation has a private entrance and soundproofing.

Amiens Golf Club is 7.1 km from the apartment, while French-Australian Museum is 23 km away. Beauvais–Tillé Airport is 66 km from the property.",N/A
Lille,Hotel Kanaï,https://www.booking.com/hotel/fr/k.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9saWxsZUgzWARoFYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCwJu7vgbAAgHSAiQ4YWM4ZDQxNi1jZjZjLTQyNzUtYjZkNy0xZDA1MzJjZGRjNTDYAgXgAgE&ucfs=1&arphpl=1&checkin=2025-03-05&checkout=2025-03-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=45d95120bb3c0500&srepoch=1741606337&from=searchresults,50.63479570,3.06413278,8.0,"Hotel Kanaï is located in the centre of Lille, in a pedestrianised area, only 200 metres from the famous Grand Place, a 15-minute walk from Lille Grand Palais and a 6-minute walk from Nouveau Siècle Convention Centre.

All rooms feature flat-screen satellite TV and modern furnishings.

A breakfast is available daily and is composed of produce from local farms.

Shops, restaurants and bars can be found within walking distance.

The friendly and attentive staff at the Hotel Kanaï will be happy to help you organise your stay in Lille 24 hours a day. Lille-Europe TGV Train Station is 1 km away and Lille Flandres Train Station is 550 metres from the property.",N/A
Strasbourg,"Résidence le premium, hyper centre, studio tout équipé",https://www.booking.com/hotel/fr/magnifique-studio-hyper-centre-tout-equipe-strasbourg.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9zdHJhc2JvdXJnSDNYBGgViAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALCm7u-BsACAdICJDlmZmRiMWNkLTk2YjktNGJlOC05ZjJiLWI2OWY0YzY1OWEwOdgCBeACAQ&ucfs=1&arphpl=1&checkin=2025-03-05&checkout=2025-03-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=d5035121147200fe&srepoch=1741606339&from=searchresults,48.58827860,7.74707640,9.0,"Offering city views, Résidence le premium, hyper centre, studio tout équipé is an accommodation situated in Strasbourg, 1.2 km from The 'Petite France' and 1.7 km from Jardin botanique de l'Université de Strasbourg. Boasting a lift, this property also provides guests with a restaurant. The property is 600 metres from the city centre and 1.2 km from St. Paul's Church.

With free WiFi, this apartment features a satellite flat-screen TV and a fully equipped kitchen with a dishwasher and oven. Towels and bed linen are available in the apartment. This apartment is allergy-free and non-smoking.

There is a coffee shop, and a grocery delivery service and a minimarket are also available.

A bicycle rental service is available at the apartment.

Strasbourg Cathedral is less than 1 km from Résidence le premium, hyper centre, studio tout équipé, while Strasbourg Exhibition Centre is 2.4 km from the property. Strasbourg International Airport is 11 km away.",N/A
Chateau du Haut Koenigsbourg,LA MAISON EN PAIN D'EPICES,https://www.booking.com/hotel/fr/la-maison-en-pain-d-39-epices.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCI3NlYXJjaF9jaGF0ZWF1IGR1IGhhdXQga29lbmlnc2JvdXJnSDNYBGgViAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALEm7u-BsACAdICJDcyYzYzYTM1LTg5NjktNDdmNi04NGM0LWJhYmM0NmRhMGE5MtgCBeACAQ&ucfs=1&arphpl=1&checkin=2025-03-05&checkout=2025-03-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=26&hapos=26&sr_order=popularity&srpvid=725b51221f340133&srepoch=1741606341&from=searchresults,48.24064400,7.18018500,9.2,"Offering a garden and garden view, LA MAISON EN PAIN D'EPICES is situated in Sainte-Marie-aux-Mines, 38 km from Colmar Expo and 41 km from House of the Heads. The property is around 41 km from Saint-Martin Collegiate Church, 45 km from Colmar Train Station and 48 km from Würth Museum. The property is non-smoking and is set 19 km from Le Haut Koenigsbourg Castle.

The holiday home is fitted with 2 bedrooms, 1 bathroom, bed linen, towels, a flat-screen TV with cable channels, a dining area, a fully equipped kitchen, and a terrace with mountain views. Offering free private parking, this 3-star holiday home also features free WiFi. The property has an outdoor dining area.

The holiday home has a children's playground and a barbecue.

Gérardmer Lake is 49 km from LA MAISON EN PAIN D'EPICES, while Cigoland is 22 km from the property. Strasbourg International Airport is 60 km away.",N/A
